id_oportunidade,id_vendedor,id_empresa,id_produto,data,ano,trimestre,estagio,valor
33,6,8,1,2023-01-01,2023,1,Pipeline,4557.09
34,7,4,2,2023-01-01,2023,1,Commit,13708.64
35,7,1,1,2023-01-01,2023,1,Pipeline,5081.18
36,7,6,1,2023-01-01,2023,1,Closed,5697.39
37,8,29,2,2023-01-01,2023,1,Pipeline,13750.32
38,8,13,1,2023-01-01,2023,1,Lead,4004.31
39,8,10,2,2023-01-01,2023,1,Closed,13368.62
40,8,26,2,2023-01-01,2023,1,Pipeline,13106.43
41,8,7,3,2023-01-01,2023,1,Pipeline,24866.71
42,8,24,2,2023-01-01,2023,1,Lead,9880.72
43,9,19,1,2023-01-01,2023,1,Commit,4114.33
44,9,6,2,2023-01-01,2023,1,Pipeline,13693.06
45,9,6,1,2023-01-01,2023,1,Closed,4160.22
46,9,8,1,2023-01-01,2023,1,Pipeline,5350.43
47,9,8,2,2023-01-01,2023,1,Lead,13873.38
48,9,14,3,2023-01-01,2023,1,Pipeline,26193.82
49,9,30,3,2023-01-01,2023,1,Pipeline,25227.83
50,10,9,1,2023-01-01,2023,1,Pipeline,4628.37
51,10,15,2,2023-01-01,2023,1,Lead,12698.4
52,10,1,2,2023-01-01,2023,1,Closed,14091.52
53,10,4,2,2023-01-01,2023,1,Pipeline,12302.37
54,10,5,1,2023-01-01,2023,1,Pipeline,5011.77
55,11,6,1,2023-01-01,2023,1,Commit,4739.05
56,11,20,2,2023-01-01,2023,1,Commit,12976.99
57,11,18,3,2023-01-01,2023,1,Pipeline,26678.63
58,11,29,2,2023-01-01,2023,1,Closed,10097.22
59,11,24,1,2023-01-01,2023,1,Lead,5779.43
60,12,23,1,2023-01-01,2023,1,Lead,5209.66
61,12,9,2,2023-01-01,2023,1,Lead,12644.34
62,12,28,3,2023-01-01,2023,1,Pipeline,29053.36
63,12,9,1,2023-01-01,2023,1,Lead,4847.15
64,12,21,1,2023-01-01,2023,1,Lead,5542.24
65,12,23,2,2023-01-01,2023,1,Lead,11720.81
66,12,29,2,2023-01-01,2023,1,Pipeline,10136.99
67,13,18,3,2023-01-01,2023,1,Lead,23692.16
68,13,12,1,2023-01-01,2023,1,Pipeline,4083.66
69,13,8,1,2023-01-01,2023,1,Commit,4420.15
70,13,29,3,2023-01-01,2023,1,Lead,27801.16
71,14,8,3,2023-01-01,2023,1,Commit,29257.64
72,14,29,1,2023-01-01,2023,1,Closed,5621.54
73,14,11,2,2023-01-01,2023,1,Lead,13135.51
74,14,26,2,2023-01-01,2023,1,Commit,13747.51
75,14,4,1,2023-01-01,2023,1,Lead,5574.75
76,14,8,2,2023-01-01,2023,1,Commit,13721.25
77,15,28,2,2023-01-01,2023,1,Lead,13538.57
78,15,13,1,2023-01-01,2023,1,Lead,5320.07
79,15,25,2,2023-01-01,2023,1,Lead,9933.22
80,15,22,2,2023-01-01,2023,1,Lead,12045.15
81,16,9,2,2023-01-01,2023,1,Closed,10153.64
82,16,2,1,2023-01-01,2023,1,Pipeline,5967.1
83,16,26,1,2023-01-01,2023,1,Pipeline,4691.37
84,16,4,2,2023-01-01,2023,1,Pipeline,14324.33
85,16,2,2,2023-01-01,2023,1,Commit,10512.38
86,16,26,3,2023-01-01,2023,1,Pipeline,25199.2
87,16,24,3,2023-01-01,2023,1,Pipeline,29402.63
88,1,30,2,2023-01-08,2023,1,Pipeline,14154.6
89,1,4,2,2023-01-08,2023,1,Pipeline,12784.26
90,1,22,3,2023-01-08,2023,1,Closed,25071.23
91,1,18,2,2023-01-08,2023,1,Lead,12946.6
92,2,22,1,2023-01-08,2023,1,Pipeline,5880.73
93,2,10,3,2023-01-08,2023,1,Closed,26155.15
94,2,10,2,2023-01-08,2023,1,Pipeline,9601.95
95,2,21,1,2023-01-08,2023,1,Pipeline,5159.97
96,3,17,2,2023-01-08,2023,1,Pipeline,12843.01
97,3,24,2,2023-01-08,2023,1,Commit,14207.19
98,3,22,1,2023-01-08,2023,1,Pipeline,4567.57
99,3,25,3,2023-01-08,2023,1,Pipeline,20933.87
100,3,7,1,2023-01-08,2023,1,Pipeline,4449.28
101,4,20,1,2023-01-08,2023,1,Lead,5967.87
102,4,19,1,2023-01-08,2023,1,Pipeline,5772.27
103,4,13,1,2023-01-08,2023,1,Commit,4767.96
104,4,29,1,2023-01-08,2023,1,Lead,5375.24
105,5,23,2,2023-01-08,2023,1,Lead,13459.73
106,5,30,3,2023-01-08,2023,1,Pipeline,25574.06
107,5,22,1,2023-01-08,2023,1,Pipeline,5602.83
108,6,29,3,2023-01-08,2023,1,Pipeline,29500.4
109,6,17,2,2023-01-08,2023,1,Pipeline,13052.52
110,6,29,2,2023-01-08,2023,1,Commit,12229.79
111,6,9,1,2023-01-08,2023,1,Commit,4949.35
112,6,25,1,2023-01-08,2023,1,Commit,4554.62
113,6,15,3,2023-01-08,2023,1,Pipeline,22392.46
114,6,11,1,2023-01-08,2023,1,Commit,4468.99
115,7,13,3,2023-01-08,2023,1,Lead,21508.31
116,7,14,3,2023-01-08,2023,1,Lead,22139.53
117,7,2,2,2023-01-08,2023,1,Lead,11836.44
118,7,25,1,2023-01-08,2023,1,Commit,4778.95
119,7,29,3,2023-01-08,2023,1,Closed,20195.32
120,8,10,2,2023-01-08,2023,1,Pipeline,14125.16
121,8,14,2,2023-01-08,2023,1,Commit,14176.47
122,8,20,3,2023-01-08,2023,1,Commit,25461.32
123,8,16,1,2023-01-08,2023,1,Pipeline,4545.87
124,8,26,1,2023-01-08,2023,1,Lead,5337.75
125,8,30,2,2023-01-08,2023,1,Commit,13634.43
126,8,30,1,2023-01-08,2023,1,Closed,5068.25
127,9,21,3,2023-01-08,2023,1,Pipeline,20271.02
128,9,2,2,2023-01-08,2023,1,Lead,11816.15
129,9,11,2,2023-01-08,2023,1,Lead,10615.97
130,9,25,2,2023-01-08,2023,1,Commit,11419.81
131,9,1,2,2023-01-08,2023,1,Lead,9993.15
132,9,12,3,2023-01-08,2023,1,Pipeline,29999.08
133,10,2,3,2023-01-08,2023,1,Lead,29572.86
134,10,1,1,2023-01-08,2023,1,Closed,4398.72
135,10,22,3,2023-01-08,2023,1,Lead,21262.21
136,10,23,1,2023-01-08,2023,1,Pipeline,4435.93
137,11,24,2,2023-01-08,2023,1,Lead,12514.79
138,11,10,3,2023-01-08,2023,1,Lead,28193.01
139,11,19,1,2023-01-08,2023,1,Pipeline,5857.77
140,11,23,3,2023-01-08,2023,1,Closed,23753.07
141,11,21,1,2023-01-08,2023,1,Lead,5381.23
142,12,22,1,2023-01-08,2023,1,Pipeline,4603.17
143,12,19,3,2023-01-08,2023,1,Commit,27962.27
144,12,12,1,2023-01-08,2023,1,Lead,4856.76
145,12,28,1,2023-01-08,2023,1,Pipeline,4682.46
146,13,21,2,2023-01-08,2023,1,Lead,14211.78
147,13,24,2,2023-01-08,2023,1,Commit,11690.34
148,13,26,3,2023-01-08,2023,1,Closed,22700.82
149,13,27,3,2023-01-08,2023,1,Commit,24648.74
150,13,8,3,2023-01-08,2023,1,Pipeline,23223.05
151,13,25,1,2023-01-08,2023,1,Lead,4901.6
152,14,1,3,2023-01-08,2023,1,Pipeline,23789.89
153,14,7,2,2023-01-08,2023,1,Commit,10472.83
154,14,29,2,2023-01-08,2023,1,Commit,11233.63
155,14,1,3,2023-01-08,2023,1,Commit,22762.69
156,14,24,3,2023-01-08,2023,1,Closed,20856.13
157,14,23,2,2023-01-08,2023,1,Pipeline,13239.19
158,15,1,3,2023-01-08,2023,1,Commit,24481.75
159,15,8,1,2023-01-08,2023,1,Lead,4808.8
160,15,18,2,2023-01-08,2023,1,Pipeline,11371.3
161,15,18,3,2023-01-08,2023,1,Lead,29966.31
162,15,10,2,2023-01-08,2023,1,Lead,11777.98
163,15,11,2,2023-01-08,2023,1,Lead,13062.16
164,16,6,3,2023-01-08,2023,1,Pipeline,27621.9
165,16,24,1,2023-01-08,2023,1,Lead,4968.4
166,16,10,3,2023-01-08,2023,1,Closed,25246.37
167,1,10,1,2023-01-15,2023,1,Lead,4721.76
168,1,2,1,2023-01-15,2023,1,Commit,4253.17
169,1,5,1,2023-01-15,2023,1,Pipeline,5394.83
170,2,16,1,2023-01-15,2023,1,Commit,5148.13
171,2,2,2,2023-01-15,2023,1,Pipeline,10484.95
172,2,27,2,2023-01-15,2023,1,Closed,11893.1
173,2,21,1,2023-01-15,2023,1,Pipeline,4148.16
174,2,19,3,2023-01-15,2023,1,Lead,21491.98
175,2,18,2,2023-01-15,2023,1,Lead,10791.32
176,3,25,3,2023-01-15,2023,1,Pipeline,26184.18
177,3,10,3,2023-01-15,2023,1,Lead,29085.04
178,3,20,3,2023-01-15,2023,1,Closed,23053.8
179,3,25,1,2023-01-15,2023,1,Pipeline,5480.18
180,3,3,1,2023-01-15,2023,1,Pipeline,4529.29
181,3,6,1,2023-01-15,2023,1,Lead,5103.98
182,4,10,2,2023-01-15,2023,1,Pipeline,12450.29
183,4,23,1,2023-01-15,2023,1,Lead,5413.91
184,4,9,2,2023-01-15,2023,1,Lead,10720.43
185,5,4,3,2023-01-15,2023,1,Commit,21978.19
186,5,9,3,2023-01-15,2023,1,Lead,21489.89
187,5,10,1,2023-01-15,2023,1,Lead,4331.85
188,5,10,3,2023-01-15,2023,1,Commit,25692.07
189,5,23,2,2023-01-15,2023,1,Lead,12905.65
190,5,16,2,2023-01-15,2023,1,Closed,12002.27
191,5,14,2,2023-01-15,2023,1,Lead,9791.33
192,6,22,3,2023-01-15,2023,1,Lead,20913.27
193,6,25,3,2023-01-15,2023,1,Pipeline,20207.45
194,6,25,3,2023-01-15,2023,1,Commit,25762.47
195,6,30,1,2023-01-15,2023,1,Pipeline,5303.02
196,6,21,2,2023-01-15,2023,1,Lead,12409.58
197,7,11,1,2023-01-15,2023,1,Pipeline,4816.7
198,7,14,3,2023-01-15,2023,1,Lead,21608.25
199,7,13,3,2023-01-15,2023,1,Pipeline,26625.84
200,7,9,3,2023-01-15,2023,1,Lead,20880.6
201,7,28,2,2023-01-15,2023,1,Lead,13308.23
202,7,28,3,2023-01-15,2023,1,Commit,20011.51
203,8,12,2,2023-01-15,2023,1,Pipeline,10500.4
204,8,25,3,2023-01-15,2023,1,Commit,26254.09
205,8,30,1,2023-01-15,2023,1,Lead,5098.44
206,8,4,2,2023-01-15,2023,1,Pipeline,12951.6
207,8,8,1,2023-01-15,2023,1,Closed,5217.74
208,8,18,3,2023-01-15,2023,1,Lead,25508.39
209,8,30,2,2023-01-15,2023,1,Lead,14362.83
210,9,5,2,2023-01-15,2023,1,Closed,12709.01
211,9,23,2,2023-01-15,2023,1,Closed,11000.94
212,9,16,2,2023-01-15,2023,1,Pipeline,11916.0
213,10,30,2,2023-01-15,2023,1,Pipeline,11441.21
214,10,28,3,2023-01-15,2023,1,Pipeline,28793.26
215,10,14,1,2023-01-15,2023,1,Lead,5580.01
216,10,27,2,2023-01-15,2023,1,Closed,12037.14
217,11,19,2,2023-01-15,2023,1,Commit,13619.88
218,11,18,3,2023-01-15,2023,1,Pipeline,21485.95
219,11,18,2,2023-01-15,2023,1,Lead,12249.2
220,12,23,2,2023-01-15,2023,1,Closed,13774.09
221,12,25,1,2023-01-15,2023,1,Pipeline,4467.12
222,12,23,2,2023-01-15,2023,1,Lead,13174.58
223,12,27,2,2023-01-15,2023,1,Lead,12785.71
224,12,2,3,2023-01-15,2023,1,Closed,24953.29
225,12,28,1,2023-01-15,2023,1,Pipeline,5180.36
226,13,1,2,2023-01-15,2023,1,Lead,13970.12
227,13,5,3,2023-01-15,2023,1,Lead,28709.33
228,13,11,1,2023-01-15,2023,1,Pipeline,5938.41
229,14,11,3,2023-01-15,2023,1,Lead,20803.15
230,14,11,3,2023-01-15,2023,1,Commit,23800.09
231,14,28,3,2023-01-15,2023,1,Commit,27594.02
232,14,21,3,2023-01-15,2023,1,Lead,20684.21
233,14,24,3,2023-01-15,2023,1,Closed,29974.26
234,14,21,1,2023-01-15,2023,1,Pipeline,4196.89
235,14,23,3,2023-01-15,2023,1,Commit,24436.79
236,15,10,1,2023-01-15,2023,1,Lead,5592.29
237,15,17,2,2023-01-15,2023,1,Lead,10298.74
238,15,6,2,2023-01-15,2023,1,Pipeline,13404.09
239,15,20,1,2023-01-15,2023,1,Lead,5741.68
240,15,5,3,2023-01-15,2023,1,Lead,29128.29
241,16,22,2,2023-01-15,2023,1,Pipeline,11805.94
242,16,10,1,2023-01-15,2023,1,Commit,4930.51
243,16,12,3,2023-01-15,2023,1,Pipeline,20738.62
244,16,23,3,2023-01-15,2023,1,Lead,29620.29
245,1,13,2,2023-01-22,2023,1,Commit,10556.24
246,1,12,2,2023-01-22,2023,1,Lead,11430.55
247,1,1,3,2023-01-22,2023,1,Lead,26992.79
248,1,28,3,2023-01-22,2023,1,Lead,20080.98
249,1,30,3,2023-01-22,2023,1,Commit,29736.03
250,2,10,3,2023-01-22,2023,1,Pipeline,29041.55
251,2,21,1,2023-01-22,2023,1,Pipeline,4704.64
252,2,24,1,2023-01-22,2023,1,Pipeline,5355.53
253,2,4,3,2023-01-22,2023,1,Pipeline,21367.79
254,2,15,3,2023-01-22,2023,1,Pipeline,23089.33
255,2,3,1,2023-01-22,2023,1,Pipeline,5464.72
256,2,7,2,2023-01-22,2023,1,Lead,11594.41
257,3,17,3,2023-01-22,2023,1,Commit,23658.58
258,3,27,2,2023-01-22,2023,1,Commit,10833.46
259,3,28,2,2023-01-22,2023,1,Closed,11016.68
260,3,3,2,2023-01-22,2023,1,Commit,11847.99
261,4,13,1,2023-01-22,2023,1,Commit,5448.43
262,4,1,3,2023-01-22,2023,1,Lead,27906.82
263,4,22,2,2023-01-22,2023,1,Pipeline,11782.97
264,4,27,3,2023-01-22,2023,1,Pipeline,25845.6
265,5,20,1,2023-01-22,2023,1,Pipeline,4942.95
266,5,21,3,2023-01-22,2023,1,Lead,26100.82
267,5,23,1,2023-01-22,2023,1,Pipeline,4928.54
268,5,2,2,2023-01-22,2023,1,Pipeline,10160.04
269,5,4,1,2023-01-22,2023,1,Lead,4985.25
270,6,22,3,2023-01-22,2023,1,Lead,24536.44
271,6,19,3,2023-01-22,2023,1,Pipeline,25401.92
272,6,21,3,2023-01-22,2023,1,Commit,28854.14
273,6,9,1,2023-01-22,2023,1,Commit,5231.3
274,7,8,3,2023-01-22,2023,1,Lead,24433.83
275,7,18,2,2023-01-22,2023,1,Lead,12891.27
276,7,7,3,2023-01-22,2023,1,Lead,23981.4
277,8,21,2,2023-01-22,2023,1,Lead,10618.11
278,8,11,3,2023-01-22,2023,1,Closed,20505.79
279,8,7,1,2023-01-22,2023,1,Closed,5573.96
280,9,28,3,2023-01-22,2023,1,Lead,22159.51
281,9,29,1,2023-01-22,2023,1,Lead,4295.11
282,9,5,3,2023-01-22,2023,1,Lead,28584.06
283,10,22,3,2023-01-22,2023,1,Lead,21744.97
284,10,26,1,2023-01-22,2023,1,Lead,4716.48
285,10,9,1,2023-01-22,2023,1,Pipeline,4031.56
286,10,4,1,2023-01-22,2023,1,Lead,4841.92
287,11,19,2,2023-01-22,2023,1,Pipeline,11337.79
288,11,20,1,2023-01-22,2023,1,Pipeline,4443.1
289,11,22,1,2023-01-22,2023,1,Commit,5817.5
290,12,2,2,2023-01-22,2023,1,Pipeline,14227.33
291,12,4,2,2023-01-22,2023,1,Commit,11646.11
292,12,29,2,2023-01-22,2023,1,Commit,11729.1
293,12,5,1,2023-01-22,2023,1,Lead,4296.67
294,12,23,2,2023-01-22,2023,1,Pipeline,12409.75
295,12,10,2,2023-01-22,2023,1,Lead,12467.48
296,12,26,2,2023-01-22,2023,1,Pipeline,11664.96
297,13,24,3,2023-01-22,2023,1,Pipeline,27689.63
298,13,14,1,2023-01-22,2023,1,Pipeline,5776.18
299,13,24,2,2023-01-22,2023,1,Commit,11513.9
300,14,12,2,2023-01-22,2023,1,Pipeline,12792.52
301,14,3,1,2023-01-22,2023,1,Pipeline,4948.54
302,14,24,1,2023-01-22,2023,1,Lead,4193.13
303,15,18,1,2023-01-22,2023,1,Pipeline,5172.93
304,15,12,3,2023-01-22,2023,1,Lead,21222.31
305,15,30,3,2023-01-22,2023,1,Closed,24229.37
306,15,10,3,2023-01-22,2023,1,Lead,22876.29
307,15,5,2,2023-01-22,2023,1,Lead,12035.58
308,16,18,1,2023-01-22,2023,1,Commit,4700.23
309,16,8,2,2023-01-22,2023,1,Lead,10937.13
310,16,27,2,2023-01-22,2023,1,Commit,14277.82
311,16,1,3,2023-01-22,2023,1,Pipeline,26426.99
312,16,9,3,2023-01-22,2023,1,Closed,28294.61
313,16,10,1,2023-01-22,2023,1,Lead,5405.4
314,1,19,2,2023-01-29,2023,1,Lead,13775.34
315,1,21,3,2023-01-29,2023,1,Pipeline,21418.75
316,1,13,1,2023-01-29,2023,1,Lead,5060.97
317,1,10,2,2023-01-29,2023,1,Pipeline,10355.56
318,1,20,3,2023-01-29,2023,1,Lead,29414.07
319,2,2,1,2023-01-29,2023,1,Lead,5508.87
320,2,14,3,2023-01-29,2023,1,Lead,24431.13
321,2,7,2,2023-01-29,2023,1,Pipeline,11588.08
322,3,22,1,2023-01-29,2023,1,Lead,4221.78
323,3,10,3,2023-01-29,2023,1,Pipeline,25269.34
324,3,2,1,2023-01-29,2023,1,Lead,5968.89
325,3,25,1,2023-01-29,2023,1,Lead,5890.65
326,3,4,1,2023-01-29,2023,1,Commit,4578.89
327,3,5,1,2023-01-29,2023,1,Pipeline,4861.31
328,3,18,2,2023-01-29,2023,1,Pipeline,10704.53
329,4,14,1,2023-01-29,2023,1,Lead,5484.08
330,4,11,1,2023-01-29,2023,1,Pipeline,4155.73
331,4,21,3,2023-01-29,2023,1,Pipeline,24044.23
332,4,11,2,2023-01-29,2023,1,Lead,11544.16
333,4,27,1,2023-01-29,2023,1,Commit,5236.25
334,5,14,1,2023-01-29,2023,1,Pipeline,4211.73
335,5,28,3,2023-01-29,2023,1,Pipeline,20786.47
336,5,25,2,2023-01-29,2023,1,Commit,10663.55
337,5,17,1,2023-01-29,2023,1,Lead,5266.45
338,5,12,3,2023-01-29,2023,1,Lead,27762.28
339,6,6,1,2023-01-29,2023,1,Lead,4511.94
340,6,3,3,2023-01-29,2023,1,Lead,27591.52
341,6,15,1,2023-01-29,2023,1,Closed,5255.9
342,6,30,3,2023-01-29,2023,1,Commit,24489.05
343,7,28,3,2023-01-29,2023,1,Pipeline,26245.22
344,7,16,3,2023-01-29,2023,1,Lead,24397.63
345,7,19,2,2023-01-29,2023,1,Pipeline,13422.38
346,7,15,1,2023-01-29,2023,1,Lead,4148.38
347,7,10,2,2023-01-29,2023,1,Lead,11369.94
348,7,3,1,2023-01-29,2023,1,Pipeline,5954.74
349,7,19,3,2023-01-29,2023,1,Pipeline,23844.82
350,8,26,3,2023-01-29,2023,1,Commit,24497.34
351,8,16,3,2023-01-29,2023,1,Pipeline,23215.27
352,8,4,3,2023-01-29,2023,1,Lead,20618.74
353,8,21,2,2023-01-29,2023,1,Closed,10004.78
354,8,15,1,2023-01-29,2023,1,Lead,5415.24
355,8,12,3,2023-01-29,2023,1,Pipeline,21587.46
356,8,22,2,2023-01-29,2023,1,Lead,13317.43
357,9,3,1,2023-01-29,2023,1,Commit,5294.61
358,9,10,2,2023-01-29,2023,1,Lead,12856.22
359,9,30,2,2023-01-29,2023,1,Commit,12751.51
360,9,19,3,2023-01-29,2023,1,Commit,23333.62
361,9,21,3,2023-01-29,2023,1,Lead,23498.21
362,9,23,3,2023-01-29,2023,1,Pipeline,21289.52
363,9,26,1,2023-01-29,2023,1,Lead,4753.36
364,10,24,1,2023-01-29,2023,1,Pipeline,5657.92
365,10,22,3,2023-01-29,2023,1,Closed,20934.53
366,10,10,2,2023-01-29,2023,1,Pipeline,9687.51
367,10,25,1,2023-01-29,2023,1,Closed,4683.46
368,10,5,2,2023-01-29,2023,1,Lead,14399.89
369,11,25,2,2023-01-29,2023,1,Commit,10085.48
370,11,2,3,2023-01-29,2023,1,Commit,28836.82
371,11,5,3,2023-01-29,2023,1,Lead,27663.08
372,12,23,2,2023-01-29,2023,1,Lead,10468.06
373,12,15,3,2023-01-29,2023,1,Commit,21655.39
374,12,8,1,2023-01-29,2023,1,Pipeline,5352.73
375,12,26,2,2023-01-29,2023,1,Pipeline,13211.48
376,12,26,2,2023-01-29,2023,1,Lead,10748.01
377,12,22,2,2023-01-29,2023,1,Closed,10531.28
378,12,10,3,2023-01-29,2023,1,Closed,24616.8
379,13,27,3,2023-01-29,2023,1,Pipeline,29662.68
380,13,9,1,2023-01-29,2023,1,Commit,4276.8
381,13,18,1,2023-01-29,2023,1,Pipeline,5748.23
382,13,4,1,2023-01-29,2023,1,Commit,5031.82
383,13,15,2,2023-01-29,2023,1,Lead,10369.5
384,13,30,3,2023-01-29,2023,1,Lead,24374.73
385,14,14,2,2023-01-29,2023,1,Commit,14066.27
386,14,13,1,2023-01-29,2023,1,Lead,4747.92
387,14,30,1,2023-01-29,2023,1,Lead,4056.38
388,14,26,1,2023-01-29,2023,1,Commit,5299.92
389,15,16,1,2023-01-29,2023,1,Lead,5834.79
390,15,16,3,2023-01-29,2023,1,Commit,27588.41
391,15,1,2,2023-01-29,2023,1,Pipeline,13948.12
392,15,24,2,2023-01-29,2023,1,Lead,10317.69
393,16,8,3,2023-01-29,2023,1,Pipeline,27761.73
394,16,21,2,2023-01-29,2023,1,Lead,10744.51
395,16,29,3,2023-01-29,2023,1,Pipeline,21108.58
396,16,17,2,2023-01-29,2023,1,Pipeline,9678.89
397,16,14,3,2023-01-29,2023,1,Lead,21435.77
398,16,14,1,2023-01-29,2023,1,Pipeline,4481.13
399,16,12,1,2023-01-29,2023,1,Pipeline,4171.23
400,1,17,3,2023-02-05,2023,1,Pipeline,27864.12
401,1,2,3,2023-02-05,2023,1,Lead,28733.31
402,1,24,3,2023-02-05,2023,1,Lead,23733.02
403,2,24,2,2023-02-05,2023,1,Commit,11255.05
404,2,24,3,2023-02-05,2023,1,Pipeline,27715.01
405,2,11,2,2023-02-05,2023,1,Lead,11291.04
406,3,21,3,2023-02-05,2023,1,Pipeline,26953.89
407,3,25,1,2023-02-05,2023,1,Commit,4126.2
408,3,26,2,2023-02-05,2023,1,Lead,10567.64
409,3,10,1,2023-02-05,2023,1,Commit,4631.19
410,4,9,2,2023-02-05,2023,1,Closed,12206.55
411,4,12,1,2023-02-05,2023,1,Commit,4382.21
412,4,4,1,2023-02-05,2023,1,Commit,4663.85
413,4,15,2,2023-02-05,2023,1,Pipeline,11520.1
414,4,23,2,2023-02-05,2023,1,Lead,10496.72
415,4,9,2,2023-02-05,2023,1,Lead,13427.0
416,4,20,1,2023-02-05,2023,1,Commit,4157.85
417,5,11,3,2023-02-05,2023,1,Lead,21025.98
418,5,23,3,2023-02-05,2023,1,Lead,24459.16
419,5,15,2,2023-02-05,2023,1,Lead,11730.76
420,5,20,1,2023-02-05,2023,1,Commit,5823.21
421,6,2,2,2023-02-05,2023,1,Pipeline,13399.09
422,6,17,1,2023-02-05,2023,1,Pipeline,4812.42
423,6,5,3,2023-02-05,2023,1,Pipeline,29527.89
424,6,5,3,2023-02-05,2023,1,Pipeline,24381.73
425,6,12,1,2023-02-05,2023,1,Lead,5290.33
426,6,5,2,2023-02-05,2023,1,Closed,9755.45
427,7,19,2,2023-02-05,2023,1,Lead,13262.81
428,7,21,1,2023-02-05,2023,1,Pipeline,4796.07
429,7,24,2,2023-02-05,2023,1,Lead,10144.55
430,7,18,1,2023-02-05,2023,1,Pipeline,4773.97
431,7,15,1,2023-02-05,2023,1,Lead,4520.58
432,7,30,1,2023-02-05,2023,1,Closed,4571.15
433,8,15,1,2023-02-05,2023,1,Lead,5705.65
434,8,3,1,2023-02-05,2023,1,Commit,4890.22
435,8,22,3,2023-02-05,2023,1,Closed,29865.75
436,8,10,2,2023-02-05,2023,1,Commit,12239.99
437,8,30,2,2023-02-05,2023,1,Commit,13016.68
438,8,17,3,2023-02-05,2023,1,Pipeline,27936.96
439,9,8,1,2023-02-05,2023,1,Closed,5584.13
440,9,12,2,2023-02-05,2023,1,Lead,12259.3
441,9,20,2,2023-02-05,2023,1,Commit,12247.91
442,9,23,1,2023-02-05,2023,1,Lead,4796.32
443,10,19,3,2023-02-05,2023,1,Pipeline,24094.34
444,10,3,1,2023-02-05,2023,1,Lead,4634.06
445,10,5,2,2023-02-05,2023,1,Pipeline,12083.33
446,10,5,3,2023-02-05,2023,1,Pipeline,21819.63
447,10,27,2,2023-02-05,2023,1,Pipeline,13767.42
448,10,6,1,2023-02-05,2023,1,Pipeline,4608.25
449,11,17,3,2023-02-05,2023,1,Lead,29474.83
450,11,21,2,2023-02-05,2023,1,Commit,10802.91
451,11,20,3,2023-02-05,2023,1,Lead,26250.22
452,11,19,3,2023-02-05,2023,1,Lead,26409.87
453,11,24,3,2023-02-05,2023,1,Lead,26587.33
454,12,27,2,2023-02-05,2023,1,Commit,12305.37
455,12,25,1,2023-02-05,2023,1,Lead,5897.09
456,12,19,3,2023-02-05,2023,1,Lead,22108.08
457,12,29,2,2023-02-05,2023,1,Pipeline,9745.37
458,12,10,3,2023-02-05,2023,1,Pipeline,26419.07
459,12,13,2,2023-02-05,2023,1,Lead,13475.28
460,12,6,2,2023-02-05,2023,1,Pipeline,12905.35
461,13,20,2,2023-02-05,2023,1,Pipeline,10579.31
462,13,24,1,2023-02-05,2023,1,Lead,5436.73
463,13,12,2,2023-02-05,2023,1,Closed,10227.68
464,13,15,3,2023-02-05,2023,1,Pipeline,23191.16
465,13,4,1,2023-02-05,2023,1,Lead,4495.84
466,13,20,1,2023-02-05,2023,1,Lead,4768.3
467,14,27,1,2023-02-05,2023,1,Closed,5804.62
468,14,7,2,2023-02-05,2023,1,Closed,13061.42
